Transaction Type,Transaction Amount,Sender Balance Before,Sender Balance After,Recipient Balance Before,Recipient Balance After,Fraud/Not
Swipe,339,86094,85755,77764,78102,Yes
Chip,1074,20198,19124,67831,68904,Yes
Chip,8931,68687,59756,35138,44068,Yes
Swipe,4096,43053,38958,3856,7952,Yes
Swipe,648,33298,32651,94013,94660,Yes
Chip,5678,78934,73256,83817,89495,No
Chip,6990,14648,7659,72278,79268,Yes
Swipe,8196,99269,91073,82302,90498,No
Online,1923,6052,4130,50846,52769,Yes
Online,5685,93870,88186,14009,19694,Yes
Online,5630,7687,2057,93105,98735,Yes
Chip,787,25976,25189,27749,28535,Yes
Chip,1762,50320,48558,47866,49628,No
Swipe,5930,21272,15342,2860,8789,Yes
Chip,8595,14493,5898,95070,103665,No
Chip,4456,76794,72338,17960,22416,No
Chip,4831,42079,37247,76094,80926,Yes
Swipe,8149,20231,12082,53600,61749,Yes
Online,1406,42362,40955,73313,74720,Yes
Swipe,3831,95007,91175,92363,96194,No
Chip,1165,78518,77353,13565,14730,No
Swipe,4012,53080,49068,14855,18867,Yes
Swipe,7307,33191,25883,56191,63498,Yes
Swipe,4587,19364,14777,54775,59362,No
Online,60,65226,65166,67902,67961,No
Swipe,1990,65878,63888,99437,101426,Yes
Chip,9964,99868,89904,49099,59064,Yes
Chip,7815,74043,66228,64537,72352,No
Swipe,9691,56642,46951,73728,83419,No
Chip,8222,47408,39186,78664,86886,Yes
Online,4447,81237,76790,17566,22013,No
Chip,5642,83422,77781,98971,104613,Yes
Chip,9400,25514,16115,61412,70812,No
Online,1780,16201,14421,97953,99734,Yes
Online,6696,44515,37819,91115,97811,Yes
Chip,592,51499,50908,9712,10304,Yes
Online,7118,32630,25512,84548,91666,No
Chip,3788,76965,73176,56159,59947,Yes
Swipe,7355,65337,57982,72330,79686,Yes
Swipe,8393,94923,86531,47582,55974,Yes
Online,8874,96246,87372,19390,28263,Yes
Chip,9984,88772,78788,29460,39444,Yes
Chip,6517,14865,8348,53360,59877,No
Online,3009,54153,51145,28324,31333,Yes
Swipe,9820,77659,67839,7361,17180,No
Swipe,8205,44352,36147,50521,58727,No
Chip,9714,70352,60638,93206,102920,Yes
Swipe,7178,9189,2011,3527,10705,No
Swipe,4323,9622,5299,74210,78533,No
Online,2025,25564,23540,42166,44190,Yes
Online,7888,64034,56146,14512,22400,Yes
Swipe,1448,15298,13850,27837,29284,Yes
Chip,5702,7205,1503,16317,22019,No
Chip,9133,38944,29812,4247,13379,No
Chip,6950,75260,68310,15015,21965,No
Online,8538,48213,39675,38819,47358,Yes
Chip,8447,80225,71778,83622,92069,No
Swipe,3219,53406,50187,99860,103078,No
Swipe,5467,7627,2160,86602,92069,Yes
Chip,6552,12122,5570,2321,8874,No
Swipe,9970,63707,53736,8826,18796,Yes
Chip,8562,82192,73630,6712,15275,Yes
Chip,2665,66987,64322,83355,86020,Yes
Chip,637,26752,26115,43942,44579,No
Chip,3810,57967,54157,3008,6818,Yes
Swipe,4610,74361,69751,25609,30218,No
Chip,654,938,284,51402,52056,Yes
Chip,3847,96728,92881,54509,58357,No
Swipe,198,22874,22676,3854,4052,Yes
Swipe,4224,74091,69867,41861,46085,No
Online,6270,50453,44183,55919,62188,Yes
Chip,3523,44200,40677,9432,12955,Yes
Swipe,9098,52777,43678,65133,74232,Yes
Online,8218,26064,17846,26534,34751,Yes
Chip,893,39310,38417,7511,8404,No
Chip,6175,44147,37972,97205,103380,No
Chip,6640,49278,42639,17253,23893,No
Chip,8717,48348,39631,3008,11725,No
Swipe,1903,94334,92431,43397,45300,Yes
Online,4927,65333,60407,85440,90367,No
Swipe,2102,45328,43226,90261,92363,Yes
Swipe,5881,70447,64566,312,6193,No
Online,3257,82908,79652,30912,34169,Yes
Online,9192,40527,31335,62254,71446,No
Chip,4775,69119,64343,62288,67063,Yes
Chip,8608,62921,54313,30109,38717,No
Online,885,84208,83323,6434,7319,No
Swipe,279,24213,23934,31682,31961,No
Online,4800,60750,55950,39054,43854,Yes
Chip,5505,26622,21117,60668,66173,Yes
Swipe,3431,69992,66560,60315,63747,Yes
Chip,2574,79065,76490,23050,25624,Yes
Online,9409,25544,16135,85351,94760,No
Chip,4102,15196,11093,21958,26061,Yes
Swipe,9624,97818,88194,28241,37865,Yes
Swipe,3310,79705,76395,43534,46844,Yes
Swipe,6295,97598,91303,74617,80912,Yes
Online,4514,22264,17750,25558,30073,No
Online,1551,90512,88962,60291,61841,No
Online,886,78624,77738,54629,55515,Yes
Online,7827,88856,81029,40314,48141,No
Online,7810,26782,18972,99295,107105,No
Online,8366,20248,11882,1091,9456,No
Swipe,987,26185,25198,57668,58655,No
Chip,1541,79317,77776,88223,89763,No
Online,4427,72874,68446,9969,14396,Yes
Online,5204,57102,51899,76695,81898,No
Swipe,82,72970,72888,89690,89772,Yes
Chip,2484,52580,50096,16502,18986,No
Online,4371,49879,45508,20204,24575,Yes
Online,2077,40356,38279,66956,69033,Yes
Swipe,1607,70286,68679,44323,45930,No
Swipe,345,63525,63180,97199,97544,No
Swipe,8303,88860,80557,91611,99915,Yes
Swipe,124,53881,53757,84997,85120,Yes
Swipe,5583,68408,62825,40605,46188,Yes
Chip,7463,8362,898,21982,29445,Yes
Swipe,9574,81378,71804,52286,61860,No
Online,9376,97309,87933,42848,52223,Yes
Chip,279,48652,48373,5545,5824,Yes
Chip,6828,90567,83739,79673,86501,Yes
Online,277,18934,18656,6894,7172,No
Online,2380,58092,55712,4,2384,No
Chip,1719,37456,35737,9678,11397,No
Online,9427,12870,3443,33540,42968,Yes
Swipe,2750,66310,63560,81386,84136,Yes
Swipe,6286,69872,63586,94617,100904,No
Chip,2554,18107,15553,16351,18905,Yes
Chip,6725,77974,71250,45974,52699,Yes
Swipe,7419,41950,34531,64654,72073,Yes
Online,971,18214,17243,21917,22888,No
Chip,1646,33463,31817,83382,85028,No
Swipe,3045,77891,74845,64793,67838,No
Chip,6493,51321,44828,29831,36323,Yes
Online,8114,41116,33001,35601,43716,Yes
Chip,602,3821,3219,22903,23505,No
Chip,7824,60389,52565,44617,52441,No
Chip,8810,71128,62318,94238,103048,Yes
Swipe,2262,34972,32710,26980,29242,No
Online,6994,59814,52821,19906,26900,Yes
Chip,4994,37842,32848,6784,11777,No
Chip,599,43511,42912,59681,60281,No
Chip,6239,27963,21724,63545,69784,Yes
Chip,7571,53989,46419,5042,12612,Yes
Swipe,4236,25896,21661,831,5067,Yes
Swipe,4694,76909,72215,74935,79629,Yes
Chip,3430,11039,7610,19231,22661,Yes
Chip,2073,14581,12508,32237,34311,No
Swipe,3319,93674,90355,33686,37005,Yes
Chip,4001,53436,49435,4806,8808,No
Online,3594,25683,22090,25818,29412,No
Chip,3847,75136,71290,79381,83227,No
Online,4819,38905,34086,61624,66443,Yes
Chip,988,20419,19432,67568,68555,No
Online,4876,99317,94441,73334,78210,Yes
Swipe,8527,91517,82990,76248,84775,No
Online,4085,77038,72954,40663,44747,Yes
Chip,9783,52996,43212,50095,59878,No
Online,8167,72787,64620,5684,13851,No
Chip,9501,81509,72009,99250,108751,No
Chip,2725,17367,14641,29052,31777,No
Chip,7934,63586,55652,35503,43437,Yes
Online,983,23436,22453,97915,98898,Yes
Online,6060,74057,67998,64700,70760,No
Chip,9649,79508,69859,38938,48587,Yes
Chip,1188,31552,30364,19025,20212,No
Chip,1883,41542,39659,86217,88100,No
Chip,4610,41825,37215,88896,93506,Yes
Swipe,4586,21234,16648,30435,35020,Yes
Online,9346,60035,50689,40036,49381,Yes
Online,4604,31429,26825,86293,90897,Yes
Online,2728,81234,78506,79078,81805,No
Chip,4506,40575,36069,81742,86247,No
Swipe,338,30741,30403,11124,11462,No
Online,7681,21583,13902,98594,106275,Yes
Chip,1151,41941,40790,6205,7356,No
Swipe,1911,69427,67516,32641,34552,Yes
Chip,2136,11458,9322,32149,34285,No
Online,140,98909,98769,73613,73753,No
Chip,1120,55521,54401,67419,68540,Yes
Online,1511,51934,50423,99357,100868,Yes
Chip,8577,17856,9279,50797,59374,No
Swipe,9643,21579,11936,71099,80742,Yes
Chip,7374,51609,44235,5881,13254,Yes
Online,916,44452,43536,44767,45683,No
Chip,2316,24816,22500,2461,4778,No
Swipe,2701,54155,51455,55258,57959,Yes
Swipe,4094,71169,67075,67606,71699,No
Chip,6142,45198,39055,80615,86757,Yes
Chip,3217,22440,19223,81836,85053,Yes
Chip,3233,89648,86415,39084,42317,No
Swipe,2972,4258,1287,69991,72962,Yes
Swipe,2103,88958,86854,29934,32037,Yes
Online,6067,15833,9766,99108,105175,No
Online,7626,46860,39234,4830,12456,Yes
Chip,5386,95592,90206,2019,7405,No
Swipe,881,36608,35727,52534,53415,Yes
Online,1414,68182,66768,58972,60386,No
Online,419,50248,49829,54334,54753,No
Chip,6950,86290,79340,73747,80698,No
Chip,5775,30168,24393,94677,100452,Yes
Chip,4956,86937,81980,3765,8721,No
Online,1068,29005,27937,62539,63607,Yes
Swipe,7370,74780,67409,26899,34270,No
Chip,7742,57970,50228,94157,101898,Yes
Chip,2897,99089,96192,30699,33596,Yes
Online,3663,49946,46283,79755,83418,Yes
Online,5516,38076,32560,55391,60907,No
Swipe,3521,39111,35590,7412,10934,Yes
Swipe,1321,73029,71708,50200,51521,No
Swipe,4568,80588,76020,88748,93316,Yes
Chip,900,6341,5441,8337,9237,Yes
Swipe,1883,3585,1702,75108,76991,No
Chip,9881,61967,52086,63774,73655,No
Chip,3428,99802,96375,27402,30829,No
Chip,227,15041,14814,37078,37305,Yes
Swipe,8233,55448,47214,45954,54188,No
Swipe,1812,48990,47177,61633,63445,No
Online,2205,30072,27867,72355,74560,No
Online,9707,81507,71800,12097,21804,No
Online,5570,23952,18382,57725,63295,No
Swipe,9778,64282,54504,94429,104207,No
Swipe,2156,72243,70087,25975,28131,No
Chip,9044,70920,61876,60885,69929,No
Chip,1229,76837,75608,44179,45408,No
Online,6916,70936,64020,98676,105593,No
Swipe,1666,71416,69749,99063,100729,Yes
Online,6792,67443,60651,45819,52611,Yes
Swipe,4826,18161,13335,3361,8187,No
Swipe,3020,16733,13713,6579,9599,Yes
Online,3201,55766,52565,90396,93597,Yes
Online,9762,63600,53838,73433,83195,No
Swipe,1993,39549,37556,44009,46002,Yes
Online,1645,1816,170,90473,92119,Yes
Online,8621,25760,17140,22919,31540,Yes
Online,8507,29118,20612,97479,105985,No
Swipe,5499,86445,80946,27607,33106,Yes
Chip,420,57425,57006,12517,12937,Yes
Swipe,3715,64749,61034,699,4413,No
Swipe,6750,23157,16407,85551,92301,No
Swipe,7319,75833,68514,14201,21520,No
Online,5422,69281,63858,12653,18075,No
Online,7609,91195,83585,55675,63284,Yes
Chip,8767,97384,88617,71633,80400,No
Online,7442,56601,49159,1728,9170,Yes
Swipe,2158,22716,20558,71922,74080,Yes
Swipe,5407,56067,50660,3299,8706,Yes
Online,9625,28458,18833,8987,18612,Yes
Online,5953,22216,16263,15154,21106,No
Online,1507,92525,91018,4552,6059,No
Online,6352,70419,64067,18833,25185,Yes
Chip,1319,21169,19850,86765,88084,Yes
Chip,2596,77701,75106,26839,29435,No
Swipe,7004,43943,36939,29708,36712,Yes
Online,8029,22186,14157,42711,50740,Yes
Online,8411,27137,18726,18208,26620,Yes
Chip,4506,34759,30253,97957,102463,Yes
Swipe,2192,42101,39910,66855,69046,No
Chip,6455,34721,28265,76212,82668,No
Swipe,3922,28775,24853,30819,34741,No
Swipe,6059,94524,88465,88013,94073,No
Chip,9627,40535,30908,79504,89131,Yes
Online,9375,50454,41079,66948,76323,Yes
Swipe,450,6565,6115,91822,92272,Yes
Swipe,7288,46835,39548,74062,81349,No
Online,1418,98324,96906,32113,33531,No
Chip,1464,48393,46930,75307,76771,Yes
Chip,2185,79332,77147,53941,56126,Yes
Swipe,4624,27458,22834,13668,18292,No
Swipe,1415,53750,52335,89568,90983,No
Online,5774,14331,8558,11963,17737,No
Swipe,7781,9934,2153,79374,87155,Yes
Online,8782,99385,90603,73223,82005,No
Chip,1064,10818,9754,68258,69322,Yes
Swipe,6203,81717,75514,55180,61382,Yes
Chip,348,43037,42688,40544,40892,Yes
Swipe,5238,60058,54821,18901,24138,No
Chip,2323,97243,94920,29393,31716,No
Chip,6812,78264,71451,46555,53367,No
Swipe,3214,32517,29303,19764,22978,Yes
Swipe,3623,47350,43727,86466,90089,Yes
Online,6058,45831,39773,33441,39499,Yes
Chip,5509,22689,17180,92188,97698,No
Online,2482,21234,18752,48452,50934,No
Chip,9128,95255,86126,51132,60261,No
Online,7198,71309,64110,64195,71394,No
Online,2411,74971,72560,82745,85156,Yes
Chip,8375,73457,65083,84854,93229,No
Chip,481,35257,34777,90923,91403,No
Swipe,8776,11537,2760,63979,72756,Yes
Chip,2894,32619,29725,59211,62106,No
Swipe,7494,96486,88992,92798,100292,No
Swipe,4810,70933,66123,86076,90886,Yes
Swipe,2152,37036,34884,50742,52894,No
Swipe,435,71016,70581,42466,42901,No
Online,4251,92570,88319,17362,21613,No
Swipe,1860,40600,38740,986,2847,No
Online,2599,84986,82387,11111,13710,Yes
Chip,3087,24981,21894,571,3658,No
Swipe,5395,27711,22316,79642,85038,No
Chip,4019,57771,53752,26888,30907,No
Online,4860,78809,73950,62108,66968,No
Chip,7498,11032,3534,22474,29972,Yes
Swipe,4553,43114,38560,31799,36353,No
Chip,5092,53604,48512,54220,59313,No
Chip,40,83188,83148,10157,10197,No
Online,194,74524,74330,25950,26145,No
Chip,5197,83365,78168,44323,49521,No
Swipe,6013,94703,88690,65856,71869,No
Chip,7150,28537,21387,1827,8977,No
Swipe,6165,28744,22580,62147,68312,Yes
Chip,2789,66442,63653,61559,64348,No
Online,8261,48006,39745,95673,103934,Yes
Online,1063,20700,19637,90805,91868,Yes
Swipe,7661,94261,86600,91592,99253,Yes
Chip,4553,27125,22572,37227,41780,Yes
Swipe,9537,21544,12007,6081,15618,No
Swipe,211,36726,36515,23430,23641,No
Online,2714,21666,18952,23128,25842,No
Online,7318,81858,74541,94644,101962,No
Swipe,3895,66298,62403,78097,81992,Yes
Online,1646,59959,58313,17362,19008,No
Online,1167,45477,44309,89893,91060,Yes
Online,1871,58776,56904,60708,62579,No
Chip,9599,29349,19750,95557,105157,No
Swipe,3069,85681,82612,28333,31402,No
Chip,9439,28878,19439,8844,18283,Yes
Chip,7404,93574,86170,62498,69902,Yes
Swipe,9726,15315,5589,74670,84396,No
Online,1582,29490,27909,34466,36048,Yes
Swipe,8577,33705,25129,71334,79910,Yes
Swipe,3686,64531,60845,15601,19287,Yes
Swipe,350,65850,65500,94562,94913,Yes
Chip,6608,94097,87489,38030,44638,Yes
Swipe,5690,27366,21676,34332,40022,Yes
Swipe,7607,85045,77439,31025,38631,No
Chip,1300,90692,89391,43063,44364,No
Swipe,7374,83493,76120,56002,63375,No
Swipe,1883,17677,15794,53072,54955,No
Swipe,9041,28419,19377,41565,50606,Yes
Swipe,5949,40597,34648,49132,55081,No
Online,1172,21540,20368,53390,54562,Yes
Online,9516,91658,82141,70403,79920,No
Online,5183,26141,20958,43727,48910,No
Chip,8984,23148,14164,37941,46926,Yes
Swipe,4415,91244,86829,76088,80504,No
Swipe,9640,38880,29240,93507,103147,Yes
Online,7449,75324,67875,51269,58718,No
Swipe,2248,21030,18782,13859,16107,No
Chip,8824,98327,89503,99907,108731,Yes
Chip,5502,12508,7006,65071,70574,No
Online,7837,79380,71543,97376,105213,Yes
Online,3878,47450,43571,82224,86103,Yes
Chip,3800,87807,84008,82867,86667,Yes
Swipe,2828,78365,75537,6302,9130,Yes
Chip,69,2367,2297,23674,23743,Yes
Online,994,24448,23453,21481,22475,No
Online,9209,72837,63628,36697,45906,No
Chip,6200,78827,72627,80297,86496,No
Chip,7462,79464,72002,2681,10142,No
Swipe,3296,91575,88279,77162,80458,No
Online,7226,29869,22643,79778,87004,Yes
Chip,7413,48188,40775,96804,104217,No
Online,5007,53052,48044,8671,13678,No
Online,3112,49378,46267,89808,92920,No
Online,5863,87626,81763,86525,92388,No
Online,7078,54603,47525,26508,33586,Yes
Online,892,6948,6056,24068,24959,No
Online,3891,22150,18259,12512,16403,Yes
Swipe,9671,60770,51100,3650,13321,No
Online,5677,56106,50429,85405,91082,Yes
Swipe,2720,82926,80205,84009,86729,No
Online,3065,14721,11656,17207,20272,Yes
Online,9142,62215,53072,6405,15547,No
Chip,5973,69405,63432,82181,88153,No
Swipe,2084,85078,82994,49915,52000,Yes
Swipe,4405,39001,34596,97057,101462,No
Chip,6648,55273,48625,32461,39109,Yes
Chip,506,72031,71525,66178,66684,No
Swipe,6324,49745,43421,16488,22812,Yes
Swipe,7052,97457,90405,18826,25879,Yes
Chip,8022,33393,25371,32688,40709,Yes
Swipe,3576,15629,12053,92096,95672,Yes
Swipe,2118,57860,55742,89298,91415,No
Chip,6979,97166,90186,25588,32567,No
Online,91,33814,33722,50678,50769,No
Chip,385,40975,40590,36559,36943,Yes
Swipe,2583,55030,52447,44208,46791,No
Swipe,1071,49748,48676,75487,76559,No
Chip,8119,44698,36579,17506,25624,Yes
Online,2090,20094,18004,93247,95337,Yes
Chip,8620,41820,33200,36137,44757,Yes
Swipe,3790,98384,94593,55914,59704,No
Chip,2938,46110,43172,51829,54766,Yes
Swipe,2223,15463,13240,36029,38252,No
Online,2801,79837,77036,62851,65652,No
Swipe,419,48096,47677,87621,88041,No
Chip,7140,79387,72247,29398,36538,Yes
Chip,4193,86739,82546,37466,41658,No
Swipe,710,9711,9001,70674,71385,Yes
Chip,7210,94479,87269,25907,33118,No
Swipe,8513,83216,74703,73832,82345,Yes
Swipe,8032,98333,90301,29631,37662,Yes
Swipe,5605,8441,2836,7803,13408,No
Online,7203,28716,21513,73623,80826,Yes
Online,2702,73562,70860,81637,84339,No
Online,5652,43115,37462,98784,104436,No
Chip,7589,42470,34881,64425,72013,No
Online,384,61107,60723,9754,10138,No
Chip,4530,72340,67810,73351,77881,No
Chip,8877,48609,39732,5294,14171,Yes
Chip,8884,16367,7483,99307,108191,No
Online,4197,23337,19141,38404,42601,No
Online,6580,25471,18891,59919,66499,No
Online,5979,26231,20252,4460,10439,Yes
Online,8081,97282,89200,13334,21415,Yes
Chip,8214,73837,65623,25152,33367,No
Chip,3848,13011,9163,38381,42229,No
Swipe,2603,83138,80536,27209,29812,Yes
Swipe,1781,53426,51644,62572,64354,Yes
Chip,1405,32439,31034,88887,90292,No
Online,920,97839,96919,55263,56183,Yes
Chip,6075,68304,62229,70917,76992,No
Online,4556,12352,7795,58131,62688,Yes
Chip,1236,65139,63904,49620,50856,Yes
Chip,693,85538,84845,35079,35772,Yes
Online,5473,38098,32625,7336,12809,No
Chip,162,29035,28873,65484,65646,No
Chip,8538,27031,18493,3443,11981,Yes
Online,6713,13621,6908,14737,21450,No
Swipe,9045,13419,4374,30914,39960,Yes
Online,7848,17170,9322,4952,12800,Yes
Chip,5014,12622,7608,74920,79935,No
Swipe,2699,81968,79269,13639,16337,Yes
Online,5863,93177,87315,86192,92055,No
Online,9565,97249,87684,22622,32187,No
Chip,1599,85672,84073,17008,18607,No
Online,3687,22857,19170,92806,96493,Yes
Swipe,718,85011,84293,98488,99205,Yes
Chip,3042,10757,7715,22961,26003,Yes
Online,1693,54927,53234,58351,60044,Yes
Chip,9576,26355,16779,91328,100904,No
Online,5031,69196,64165,22145,27176,No
Swipe,6052,24951,18898,16094,22146,No
Chip,7724,68291,60567,7948,15673,Yes
Online,6728,33875,27147,87682,94411,Yes
Online,8393,10929,2535,56012,64405,No
Swipe,6975,67683,60709,15656,22631,Yes
Online,8530,83191,74661,53569,62099,Yes
Swipe,7599,13547,5948,3150,10749,No
Swipe,2679,47478,44798,6678,9357,Yes
Online,137,77095,76958,85461,85598,Yes
Swipe,5340,10449,5109,23412,28752,No
Online,6346,52482,46136,95237,101584,Yes
Online,1307,26324,25017,31934,33240,No
Swipe,3287,47905,44618,61991,65278,No
Chip,5156,84158,79002,10897,16053,No
Swipe,4066,42803,38737,29027,33093,No
Online,3485,97130,93644,71085,74570,Yes
Swipe,4701,46637,41937,53123,57824,Yes
Online,5567,7925,2357,21338,26905,Yes
Chip,9701,15046,5345,84145,93846,Yes
Chip,6491,13530,7039,93989,100480,Yes
Online,1649,89041,87392,60742,62391,Yes
Swipe,3797,85998,82201,20871,24668,No
Online,42,75488,75446,85920,85962,Yes
Swipe,292,96890,96598,62937,63229,No
Chip,4459,91955,87496,41138,45597,No
Swipe,3276,51873,48596,31176,34452,Yes
Chip,3483,95831,92348,75237,78719,Yes
Swipe,112,93759,93646,22231,22344,No
Chip,1956,93433,91477,89795,91751,Yes
Swipe,3963,84268,80305,59754,63717,No
Chip,5080,94890,89810,79927,85008,Yes
Chip,18,60078,60060,61742,61760,No
Chip,2821,32044,29224,52561,55381,No
Swipe,437,64934,64497,74703,75140,Yes
Online,2102,72376,70274,44429,46531,Yes
Swipe,3890,55216,51325,97595,101485,No
Online,7601,74764,67163,33665,41266,Yes
Chip,4336,70133,65797,16052,20388,Yes
Chip,560,58229,57669,97513,98072,No
Chip,3507,31620,28112,71849,75356,No
Swipe,4647,36789,32142,37381,42028,Yes
Swipe,4418,11482,7064,25819,30238,No
Chip,4031,85144,81113,63104,67135,No
Chip,8666,39922,31256,35330,43996,Yes
Swipe,782,97764,96982,71498,72280,Yes
Swipe,8084,53686,45602,97189,105273,No
Chip,8114,22600,14487,6421,14535,No
Online,753,18613,17860,24023,24776,Yes
Online,7296,68271,60975,24514,31810,Yes
Swipe,2646,81141,78495,31429,34075,No
Online,5431,66256,60825,94761,100191,No
Swipe,3492,72996,69503,90232,93724,No
Chip,9359,89144,79786,41069,50427,No
Chip,2491,14718,12226,12061,14552,No
Chip,2020,58884,56864,66306,68326,Yes
Online,9976,97514,87537,29708,39684,Yes
Chip,526,73318,72791,26504,27030,No
Swipe,8627,77097,68470,51614,60241,Yes
Online,1900,21257,19356,61688,63588,Yes
Swipe,7769,53626,45857,46259,54028,Yes
Chip,2584,39908,37324,21841,24425,Yes
Chip,4608,29264,24656,3403,8010,No
Online,8741,83263,74522,33759,42500,No
Chip,8528,97234,88706,80807,89336,No
Swipe,5929,12046,6117,79444,85374,Yes
Online,4034,18121,14088,53094,57128,No
Online,7775,23374,15600,33570,41345,No
Chip,7911,28619,20708,22183,30094,Yes
Online,2237,95009,92772,88834,91070,Yes
Online,6707,84261,77554,41556,48263,No
Chip,9538,28744,19206,10990,20528,Yes
Online,2934,21008,18073,4132,7066,Yes
Swipe,509,50233,49723,13533,14042,No
Chip,6719,68203,61485,95864,102583,Yes
Swipe,5015,36184,31168,87072,92087,No
Swipe,6798,45823,39025,93406,100204,No
Online,6394,81320,74926,52222,58617,Yes
Swipe,6578,47717,41139,15686,22263,Yes
Chip,8641,35490,26849,48101,56742,Yes
Swipe,3569,55616,52048,91275,94844,No
Online,5337,77314,71977,83387,88724,Yes
Swipe,8030,65306,57276,33337,41366,Yes
Swipe,4339,95416,91076,31334,35673,Yes
Chip,5010,59212,54202,81623,86634,Yes
Chip,4488,18294,13805,39870,44359,Yes
Swipe,9776,34802,25026,93244,103020,Yes
Swipe,6063,92860,86798,1280,7343,Yes
Swipe,9138,41750,32612,51787,60925,No
Swipe,4836,15880,11044,7232,12068,No
Online,4503,35838,31335,4266,8769,Yes
Online,9950,75679,65729,76268,86218,Yes
Chip,7297,72307,65010,81225,88522,No
Online,1174,35861,34687,72973,74147,Yes
Swipe,2090,19706,17616,77823,79913,Yes
Swipe,16,37671,37655,64092,64108,Yes
Swipe,8083,87957,79874,76038,84121,No
Chip,5563,41059,35495,44772,50335,Yes
Swipe,8083,70165,62082,22162,30245,No
Online,130,61046,60915,67046,67176,Yes
Online,7117,42023,34905,56662,63779,Yes
Online,4222,21781,17559,53121,57343,No
Swipe,5735,78927,73193,46281,52016,No
Online,6471,77411,70941,75434,81904,Yes
Online,6241,96069,89828,36177,42418,Yes
Swipe,1325,5637,4312,42696,44021,No
Swipe,9287,32340,23053,6824,16110,No
Swipe,7519,94059,86540,76190,83709,Yes
Online,1618,4184,2566,38906,40525,No
Swipe,8655,52306,43651,78499,87154,No
Swipe,6024,13315,7291,61156,67180,Yes
Chip,1007,7299,6292,83459,84465,Yes
Swipe,9336,76075,66739,13527,22863,Yes
Swipe,2500,50426,47926,60099,62599,No
Online,5810,39035,33225,51335,57145,No
Online,6839,12990,6150,5185,12024,Yes
Swipe,9512,95799,86288,77828,87340,No
Online,3540,24724,21184,22794,26334,No
Chip,5666,77656,71991,1227,6892,Yes
Chip,4813,48569,43756,19249,24062,Yes
Swipe,8839,85173,76334,89042,97881,Yes
Chip,8079,86765,78686,21851,29930,No
Swipe,3619,29868,26249,12051,15669,No
Online,8489,68518,60029,65588,74076,Yes
Online,3282,86646,83364,11616,14898,No
Swipe,2763,34963,32200,70584,73347,Yes
Chip,5108,10655,5547,56233,61341,No
Chip,431,37491,37060,85955,86386,No
Swipe,4566,55668,51102,30846,35412,Yes
Online,5245,35314,30069,8151,13395,Yes
Swipe,195,89199,89003,89011,89207,Yes
Online,2398,85914,83516,71381,73779,Yes
Chip,3382,65837,62455,48553,51935,Yes
Online,8436,9169,732,72823,81259,Yes
Chip,9643,25087,15445,58811,68453,No
Online,9162,67743,58581,35645,44807,No
Chip,7276,99964,92688,91138,98413,Yes
Chip,5860,86592,80732,63452,69312,No
Online,2070,89331,87261,48325,50395,No
Online,7762,45403,37641,84492,92254,No
Online,3621,41423,37802,9713,13333,Yes
Online,2684,27095,24411,72124,74808,Yes
Chip,4309,24941,20631,47994,52304,No
Chip,2034,8081,6047,19462,21496,Yes
Swipe,5908,20323,14415,2900,8808,No
Chip,6539,42876,36337,16169,22708,Yes
Swipe,8995,93158,84163,45856,54851,No
Swipe,2418,5404,2986,35943,38362,Yes
Swipe,1120,61507,60387,81447,82567,Yes
Swipe,9983,42711,32728,22618,32601,Yes
Chip,7570,57920,50350,20222,27792,No
Online,6061,46054,39993,19593,25654,Yes
Swipe,8501,56993,48492,76854,85355,Yes
Online,1076,68189,67112,56197,57273,Yes
Online,2214,36605,34391,61435,63649,Yes
Online,9189,69507,60318,59376,68565,Yes
Online,3670,46082,42412,19440,23110,No
Swipe,5746,80398,74652,96085,101832,Yes
Chip,7511,79461,71950,65109,72620,No
Online,7148,81934,74786,1623,8771,Yes
Swipe,9070,54217,45147,16041,25111,Yes
Swipe,3468,34564,31096,15659,19127,No
Online,6380,74857,68476,90782,97162,No
Online,6104,71028,64923,6309,12413,No
Chip,3471,16353,12881,12302,15774,Yes
Chip,7538,28799,21261,62145,69684,Yes
Chip,6151,66310,60159,78401,84553,No
Online,2760,24728,21968,28379,31140,No
Swipe,8293,63146,54853,95796,104088,Yes
Online,4756,47320,42564,54803,59559,Yes
Swipe,4528,67835,63306,46308,50837,No
Swipe,2122,92429,90306,42826,44948,Yes
Swipe,4118,58638,54520,93983,98100,Yes
Swipe,7983,46962,38979,61842,69825,Yes
Chip,1982,48641,46660,84423,86405,No
Swipe,3256,32362,29106,95782,99039,No
Swipe,4911,22742,17831,19479,24390,No
Swipe,7309,87045,79735,34941,42250,No
Swipe,8349,39715,31366,1534,9883,Yes
Chip,6173,51614,45440,93105,99278,Yes
Chip,2723,95125,92403,64473,67195,Yes
Online,47,51237,51190,72625,72672,No
Chip,9474,41464,31990,91269,100743,No
Swipe,1434,41490,40056,74936,76371,No
Online,8431,97882,89451,93944,102375,Yes
Online,8869,36965,28096,92779,101648,Yes
Online,2455,73554,71099,60717,63172,No
Swipe,6291,11626,5335,77086,83377,Yes
Online,9030,21220,12190,96751,105781,Yes
Chip,5482,69871,64389,22801,28283,No
Chip,379,12190,11811,64792,65171,Yes
Chip,6876,8696,1820,53003,59879,Yes
Online,125,28381,28257,99600,99724,Yes
Online,4497,97513,93016,93354,97851,No
